start	end	speaker	text	keep
0.031	2.015		 Second performance committee will now come to order.	
2.416	4.44		We are convened as of 8.30 a.m.	
4.46	9.991		I would respectfully ask everyone attending this meeting to meet yourself unless you are recognized to speak.	
10.893	19.491		Please note that the committee meetings of the RTD Board of Directors will be held remotely via Zoom and will be audio and video recorded.	
20.77	27.82		 The meeting recordings along with the unofficial minutes of the meetings will be posted as soon as practicable on the board's website.	
27.84	35.971		During today's committee meeting, we are providing communication access, real time translation, also known as CART.	
37.093	49.09		Anyone who would like to access this service should send an email to the board of office at rtd.boardoffice at rtd-denver.com and a link will be provided.	
50.369	58.379		 Additionally, the CART transcript can be automatically translated into Spanish for anyone who would like access to a live transcript of this meeting.	
59.861	63.666		A live stream of this meeting is also available via RTD's YouTube page.	
65.108	66.99		I would now like to call the role of the committee members.	
67.571	68.352		Director Vince Buzik.	
69.173	69.513		Present.	
70.374	71.295		Director Lynn Geisinger.	
72.036	72.277		Here.	
73.638	74.98		Vice Chair Chris Gutschenritter.	
76.102	76.302		Here.	
76.362	78.064		Director Matt Larson.	
78.635	78.936		 Here.	
79.817	80.939		Director Chris Nicholson.	
81.761	82.122		Present.	
82.923	83.985		Director Peggy Catlin.	
86.069	86.33		Here.	
86.35	89.075		I am Chair Michael Guzman.	
89.636	92.141		I also see Board Chair Julian Bouquet has joined us.	
93.203	96.008		And I do not see anybody else on my screen.	
96.048	97.451		All right.	
98.012	101.098		If they join, help me keep track, guys.	
102.479	103.923		 Alright, we'll move into public comment.	
104.144	113.169		I would like to open the public comment to anyone who would like to address the committee regarding any topic listed in the published meeting agenda for the current and immediately preceding month.	
114.092	117.602		If you wish to speak and have not already done so.	
117.987	121.932		 Please either raise your virtual hand or press star 9 on your phone.	
123.034	126.518		During this time, the committee will not offer any direct comments or responses.	
127.119	138.755		However, if you would like to be contacted regarding your public comment, please email the RTD board at rtd.directors at rtd-denver.com.	
138.775	140.397		I don't see any hands raised on the screen.	
140.597	141.919		Mr. Kroll, do you see any?	
144.127	147.313		 Chairman Guzman, this is Jack Crow, Executive Manager of the Board Office.	
147.333	151.78		There are no hands raised and there were no comments submitted in advance via writing.	
153.163	153.563		Thank you.	
156.569	160.836		With no participants in the queue, we will close the public comment period at this time.	
161.812	163.334		 We will move on to our discussion item.	
163.394	168.401		There is one discussion item on the agenda this morning, and that is for the 2025 Employee Survey.	
169.342	179.256		I would like to ask John McKay, Executive Business Partner, as well as Ben Seelius, Senior Performance Analyst, and Jake Studentmeyer, Manager of Market Research to present this item.	
181.98	183.101		Good morning, Chair Guzman.	
183.121	183.782		Thank you very much.	
184.964	188.629		This is our annual Employee Survey review.	
189.031	198.165		 I would like to, before we get started here, recognize that we do have a short amount of time to go through this, given the executive manager's check-in here in executive session in a little bit.	
198.285	202.131		I do want to note that these results will be soon available online.	
202.151	207.039		They are available in the packet right now, but they'll be posted to the performance dashboard in short order.	
207.72	215.472		And I also want to thank Ben Salius, Jake Studemeyer, all those who volunteered to participate and to lead this survey effort across the district.	
215.492	217.215		There were 16 in-person events.	
217.499	225.569		 As you know, this is held in relation to the work selection shift for the employees with respect to the run board.	
225.589	236.023		So as they are, as employees are selecting their workshops for the next service change, they are also able to lodge their results for the employee survey just so that we have a broader response.	
236.664	240.148		I'm going to move on to the next slide just to talk through the outline very briefly.	
240.128	241.751		 First, we'll do an introduction.	
241.791	244.175		I'll hand this over to Ben here in a moment.	
244.836	247.682		And Ben will go through all the nuts and bolts of the survey.	
247.702	254.273		We'll discuss the Employee Net Promoter Score for this year, which is our success outcome for the employee ownership strategic priority.	
255.335	262.508		Next, we'll go through the Composite Index Score, which I personally feel is a better indicator of employee ownership and engagement.	
262.488	268.235		 and we'll speak to the employee favorability in response to the prompts that were given in the survey.	
268.575	271.439		We'll go through some of the items that were that we saw a largest improvement.	
271.759	278.908		We'll talk about these strategic initiatives and then again we'll talk through the key takeaways which I'm going to right now not to bury the lead.	
278.948	283.433		There were a few major takeaways from from the survey activity for this year.	
283.413	288.987		 Again, we saw continued favorable response increase over the course of the year.	
289.729	298.452		Most, if not all of the elements in the survey were tracked higher than they did last year.	
298.432	301.998		 Next, we'll speak to the efficacy of efforts related to the improvement areas.	
302.058	304.321		So we'll talk about why things improved year over year.	
305.263	313.616		We saw that in 2024, if those of you who are on this committee last year, we saw this interesting little swoop in our survey results.	
313.636	321.368		We saw the first year we saw people had a generally higher favorability of RTD and employment here.	
321.82	327.271		 And then sort of tapered off over time and then eventually toward the longer the folks were here.	
327.332	332.342		We saw again increased higher favorability in response to some of these questions this year.	
332.362	334.527		We see a kind of a flatter curve.	
334.547	340.96		So again, that honeymoon period and then basically people are content once once they are here for more than a year.	
340.94	354.918		 Again, speaking to the difference between the employee net promoter score and the employee ownership composite index, we'll talk about which one of those two measures may be better for a point of reference if we're looking to see how we're doing you over year.	
355.538	363.088		And then we'll go through the key driver analysis, which helps us to determine areas of opportunity for improvement in the next year.	
363.288	368.635		So with that, I'm going to hand this over to Ben to go through some of the survey nuts and bolts.	
369.661	370.823		 Okay, good morning, everyone.	
370.883	372.807		Ben Selya, senior performance analyst.	
373.167	374.79		I'll give you a brief introduction here.	
374.91	384.127		I'll cover the survey purpose, the administration, the survey structure, as well as a brief snapshot of the response rate in the participation this year.	
385.128	386.05		Next slide, please.	
