start	end	speaker	text	keep
0.031	2.534	Julien Bouquet	I'll now call the Wednesday, May 28 RTD Board meeting to order. We're convened as	
6.018	8.381	Chris Nicholson	I pledge allegiance to the flag of the United States of America, and to the Republic	
8.561	9.262	Julien Bouquet	Thank you, Secretary. I will now read the land acknowledgment. The RTD Board of	
9.302	12.466	Karen Benker	Present.	
12.666	19.575	Julien Bouquet	Director Buzek.	
19.615	24.341	Vince Buzek	Here.	
24.861	29.667	Julien Bouquet	Director Catlin.	
29.917	42.896	Peggy Catlin	Here.	
43.497	45.961	Julien Bouquet	Director Chandler is an excused absence. Director Guissinger.	
46.421	59.08	Lynn Guissinger	Here.	
59.819	60.74	Julien Bouquet	Director Gutschenritter.	
61.06	65.105	Chris Gutschenritter	Here.	
66.346	69.009	Julien Bouquet	Director Guzman.	
69.29	72.533	Michael Guzman	Here.	
74.035	76.137	Julien Bouquet	Director Harwick.	
76.518	83.245	Ian Harwick	Here.	
84.102	87.008	Julien Bouquet	Director Larsen.	
87.71	93.583	Matt Larsen	Here.	
93.924	94.405	Julien Bouquet	Secretary Nicholson.	
95.808	97.331	Chris Nicholson	I'm here.	
97.832	102.583	Julien Bouquet	First Vice Chair O'Keefe.	
103.238	111.572	Patrick O'Keefe	Here.	
112.033	125.196	Julien Bouquet	Director Paglieri.	
125.176	154.879	Brett Paglieri	Present.	
154.859	160.708	Julien Bouquet	Director Ruscha. Director Ruscha.	
161.75	171.966	Chris Nicholson	Chairman Bouquet, they're not on the Zoom.	
172.547	177.795	Julien Bouquet	OK. Thank you. And Second Vice Chair Whitmore.	
177.775	189.491	Troy Whitmore	I'm here.	
189.571	197.522	Julien Bouquet	Awesome. We have 13 present, two absent. Pardon me. Moving on to our retiree	
198.043	205.673	Joan Peck	Good evening. Chair Bouquet and Director Johnson and Board, thank you so much for letting	
205.653	210.938	Julien Bouquet	Thank you, Mayor Peck. Next up, we have Dr. Kay Baumann.	
212.039	227.432	Kay Palmer Marsh	Well, good afternoon. My name is Reverend Dr. Kay Palmer Marsh, and I'm from	
227.472	234.158	Julien Bouquet	Thank you, Reverend Dr. Madelyn Marsh is our next speaker.	
234.138	247.755	Madelyn Marsh	Thank you, Board members, for allowing us to speak tonight. My name is Madelyn	
