start	end	text
31	2534	Comments, feel free to come up to the podium.
6018	8381	Seeing none, were there any emailed comments, Mr. Carroll?
8561	9262	There were a number.
9302	12466	I am not going to go through all 46 and read the names.
12666	19575	However, you received 36 letters with respect to Northwest Rail and the IGA conversation that you held earlier today.
19615	24341	Five letters with respect to the ETOD policy you will consider later this evening.
24861	29667	Three letters with respect to Title VI policy or the program update.
29917	42896	You all will consider later this evening, one regarding the National Women's Soccer League proposed stadium that was discussed earlier here in person, and one regarding paratransit AOD program modifications.
43497	45961	All will be appended to the transcript of this meeting.
46421	59080	And just as a reminder to directors, a majority of these written public comments were submitted to the RTD.directors email group, which you all have access to and can see in real time.
59819	60740	Thank you, Mr. Krull.
61060	65105	With no other participants in the queue, we will now close public participation at this time.
66346	69009	Moving on to our next item, external entities report.
69290	72533	We have no external entity reports this month.
74035	76137	Moving on to our next item, discussion items.
76518	83245	We have one discussion item on the agenda this evening, which is a holdover from last week's operation safety and security committee meeting.
84102	87008	It is the access on demand program modifications.
87710	93583	I would like to offer the floor to GM CEO Deborah Johnson for some opening remarks before introducing Ms.
93924	94405	Vallejo's.
95808	97331	Thank you very much, Mr. Chair.
97832	102583	Good afternoon or evening, board members, Deborah Johnson, general manager and chief executive officer.
103238	111572	I am joined by Aaron Valleos, who serves as the Acting Assistant or Deputy Assistant General Manager of Bus Operations.
112033	125196	And as indicated in your remarks, we are here referencing the previous agendized topic at the Operations Safety and Security Committee that we did not get to and wanted to have this conversation.
125176	154879	with you all this evening, the intent of this presentation is to ground all board members in our paratransit programs, but more specifically, what we are seeking from this body is some guidance relative to access on demand, which is a supplemental premium service as relates to paratransit services, not the American with Disabilities Act of 1990, Complementary Paratransit Services.
154859	160708	And in doing so, this conversation will help us guide our path forward.
161750	171966	Specifically, I think what's notable for everybody to understand that the current paratransit contracts that we have for access on demand do sunset at the end of December.
172547	177795	We have had conversations relative to modifications and absence of having some guidance
177775	189491	We run the risk of not having any type of services and hence why it's so imperative is that we adhere to open and fair competition in order to do a solicitation relative to services.
189571	197522	We have to have some guidance relative to the specifications that would be included in a solicitation for a request for proposal.
198043	205673	So this is not for you to make a decision relative to where we are but provide guidance because what we anticipate doing with said guidance
205653	210938	and bringing forward these scenarios after meeting with some board members, i.e.
212039	227432	Chair Ruscha and Director Chandler, that are both on the Operation Safety and Security Committee, is to seek that direction so we can then go out to the customer segments and garner a better understanding.
227472	234158	While we've heard comments here, we have taken part in a myriad of different public participation engagements
234138	247755	and want to ensure that we are being good fiscal stewards, but also ensuring that we are providing the independence and ability for all aspects of our population to be able to travel and move about to and fro.
247815	251099	So with that being said, I will yield the floor to Ms.
251179	253842	Filaios to commence with the presentation.
253902	257526	If we could have board office staff pull that up, that would be appreciated.
257727	258087	Thank you.
276950	278712	been a while since I've used these microphones.
279333	280155	Good evening, everyone.
280415	288126	As GMCEO Johnson said, I'm Erin Vallejoz, the acting deputy assistant general manager for bus operations.
288707	292171	And we are just going to go over just kind of a quick overview.
292231	296798	I think it's a lot of information that you've already seen, so we won't spend too much time on that.
297118	300443	Just kind of hit on what the initial recommendation was that we made.
300423	308458	talk about some revised recommendations and then again kind of open it up for discussion to kind of get an idea of some direction.
308692	308912	Ms.
308952	312037	Faleos before, could you speak a little closer to the microphone?
312057	312799	Yes, I can.
312819	313400	Thank you so much.
313440	314281	Of course.
314301	326481	Okay, so just to kind of highlight on this again as GM CEO Johnson said, Accessor Ride and Access on Demand are the two programs that we have.
326681	333332	Accessor Ride is RTD's federally required ADA complimentary paratransit service.
333312	336420	It does supplement our fixed route services.
336480	349212	There is a fair payment required for these services and customers must meet the criteria set forth by the Americans with Disabilities Act of 1990 to be eligible.
349192	355840	This is provided with all RTD branded access ride vehicles that are all 100 percent accessible.
356781	361547	Then access on demand is our supplemental premium paratransit service.
362308	366093	It is a curb-to-curb taxi and ride share service.
366794	378608	It is available to current paratransit customers, so they must meet those eligibility criteria to qualify for access ride to then use access on demand.
